geoid,state_abb,county,tract,geographic_area_name,total,english_only,spanish,french,west_germanic_languages,slavic_languages,indo_european,korean,chinese,vietnamese,tagalog,asian_others,arabic,west_european,east_se_asian,unspecified,state,geography
06001400100,CA,Alameda County,4001,Census Tract 4001; Alameda County; California,1316,917,117,29,25,10,64,13,91,7,0,17,18,54,128,8,California,1400000US06001400100
06001402200,CA,Alameda County,4022,Census Tract 4022; Alameda County; California,952,624,141,52,0,5,51,0,52,0,0,13,14,52,65,0,California,1400000US06001402200
06001402400,CA,Alameda County,4024,Census Tract 4024; Alameda County; California,1282,881,120,0,0,0,34,34,68,8,34,0,25,0,144,78,California,1400000US06001402400
06001402500,CA,Alameda County,4025,Census Tract 4025; Alameda County; California,717,486,39,0,0,0,15,0,84,13,17,7,56,0,121,0,California,1400000US06001402500
06001402600,CA,Alameda County,4026,Census Tract 4026; Alameda County; California,614,331,1,17,0,0,21,7,165,0,21,15,0,17,208,36,California,1400000US06001402600
06001402700,CA,Alameda County,4027,Census Tract 4027; Alameda County; California,777,498,137,8,5,0,9,0,66,27,0,0,0,13,93,27,California,1400000US06001402700
06001402801,CA,Alameda County,4028.01,Census Tract 4028.01; Alameda County; California,1675,1133,36,107,5,27,40,0,219,22,0,55,19,112,296,12,California,1400000US06001402801
06001402802,CA,Alameda County,4028.02,Census Tract 4028.02; Alameda County; California,777,624,21,18,0,0,15,18,62,0,19,0,0,18,99,0,California,1400000US06001402802
06001402900,CA,Alameda County,4029,Census Tract 4029; Alameda County; California,1402,718,66,0,0,0,134,55,340,0,22,21,0,0,438,46,California,1400000US06001402900
06001403000,CA,Alameda County,4030,Census Tract 4030; Alameda County; California,1781,583,105,0,0,11,37,0,970,34,27,0,0,0,1031,14,California,1400000US06001403000
06001403100,CA,Alameda County,4031,Census Tract 4031; Alameda County; California,1119,576,22,22,0,18,40,35,262,20,5,8,0,22,330,111,California,1400000US06001403100
06001403301,CA,Alameda County,4033.01,Census Tract 4033.01; Alameda County; California,823,223,6,0,9,24,7,0,524,16,0,0,0,9,540,14,California,1400000US06001403301
06001403302,CA,Alameda County,4033.02,Census Tract 4033.02; Alameda County; California,1561,1246,97,5,13,0,11,0,136,36,17,0,0,18,189,0,California,1400000US06001403302
06001403401,CA,Alameda County,4034.01,Census Tract 4034.01; Alameda County; California,1923,1314,81,59,0,9,62,0,274,0,0,41,12,59,315,71,California,1400000US06001403401
06001403402,CA,Alameda County,4034.02,Census Tract 4034.02; Alameda County; California,712,523,65,31,0,0,0,0,15,0,8,60,0,31,83,10,California,1400000US06001403402
06001403501,CA,Alameda County,4035.01,Census Tract 4035.01; Alameda County; California,2914,1754,132,51,35,0,180,36,395,14,98,68,0,86,611,151,California,1400000US06001403501
06001403502,CA,Alameda County,4035.02,Census Tract 4035.02; Alameda County; California,1086,857,63,0,12,0,0,13,0,19,16,34,0,12,82,72,California,1400000US06001403502
06001403600,CA,Alameda County,4036,Census Tract 4036; Alameda County; California,2846,2134,286,39,0,37,53,0,90,52,0,13,0,39,155,142,California,1400000US06001403600
06001403701,CA,Alameda County,4037.01,Census Tract 4037.01; Alameda County; California,1677,1185,108,19,0,22,19,9,34,7,0,91,0,19,141,183,California,1400000US06001403701
06001403702,CA,Alameda County,4037.02,Census Tract 4037.02; Alameda County; California,1239,935,76,79,0,16,24,0,68,0,7,0,11,79,75,23,California,1400000US06001403702
06001403800,CA,Alameda County,4038,Census Tract 4038; Alameda County; California,2012,1580,166,78,24,0,31,16,39,0,22,48,0,102,125,8,California,1400000US06001403800
06001403900,CA,Alameda County,4039,Census Tract 4039; Alameda County; California,2203,1682,238,0,5,38,0,0,71,0,93,0,59,5,164,17,California,1400000US06001403900
06001404000,CA,Alameda County,4040,Census Tract 4040; Alameda County; California,1756,1307,176,0,29,20,127,0,40,0,23,34,0,29,97,0,California,1400000US06001404000
06001404101,CA,Alameda County,4041.01,Census Tract 4041.01; Alameda County; California,1739,1480,77,0,8,0,32,0,33,0,0,62,47,8,95,0,California,1400000US06001404101
06001404102,CA,Alameda County,4041.02,Census Tract 4041.02; Alameda County; California,1581,1318,139,0,15,18,7,0,26,8,0,41,0,15,75,9,California,1400000US06001404102
06001404200,CA,Alameda County,4042,Census Tract 4042; Alameda County; California,1401,1113,45,82,7,8,34,13,38,0,0,53,0,89,104,8,California,1400000US06001404200
06001404300,CA,Alameda County,4043,Census Tract 4043; Alameda County; California,1427,1148,131,26,5,0,36,0,54,5,0,18,0,31,77,4,California,1400000US06001404300
06001404400,CA,Alameda County,4044,Census Tract 4044; Alameda County; California,2381,1576,51,110,56,0,277,13,184,0,0,114,0,166,311,0,California,1400000US06001404400
06001404501,CA,Alameda County,4045.01,Census Tract 4045.01; Alameda County; California,685,496,44,14,25,0,69,0,16,0,0,14,3,39,30,4,California,1400000US06001404501
06001404502,CA,Alameda County,4045.02,Census Tract 4045.02; Alameda County; California,2573,2135,73,34,0,9,77,14,214,0,0,5,0,34,233,12,California,1400000US06001404502
06001404600,CA,Alameda County,4046,Census Tract 4046; Alameda County; California,1869,1509,54,63,10,24,26,14,42,0,15,47,0,73,118,65,California,1400000US06001404600
06001404700,CA,Alameda County,4047,Census Tract 4047; Alameda County; California,857,689,63,6,7,6,5,0,65,0,4,6,6,13,75,0,California,1400000US06001404700
06001404800,CA,Alameda County,4048,Census Tract 4048; Alameda County; California,1142,786,102,36,41,0,56,0,51,10,9,8,0,77,78,43,California,1400000US06001404800
06001404900,CA,Alameda County,4049,Census Tract 4049; Alameda County; California,2065,1404,324,42,0,0,16,0,162,38,0,32,47,42,232,0,California,1400000US06001404900
06001405000,CA,Alameda County,4050,Census Tract 4050; Alameda County; California,1563,1112,112,23,0,12,79,6,187,32,0,0,0,23,225,0,California,1400000US06001405000
06001405100,CA,Alameda County,4051,Census Tract 4051; Alameda County; California,1694,1273,84,14,23,26,42,0,70,9,8,86,16,37,173,43,California,1400000US06001405100
06001405200,CA,Alameda County,4052,Census Tract 4052; Alameda County; California,2298,1319,317,60,5,29,121,13,263,15,35,97,0,65,423,24,California,1400000US06001405200
06001405301,CA,Alameda County,4053.01,Census Tract 4053.01; Alameda County; California,1488,1047,229,0,0,81,19,7,41,17,19,22,0,0,106,6,California,1400000US06001405301
06001405302,CA,Alameda County,4053.02,Census Tract 4053.02; Alameda County; California,1611,982,103,11,0,35,18,7,230,92,0,62,21,11,391,50,California,1400000US06001405302
06001405401,CA,Alameda County,4054.01,Census Tract 4054.01; Alameda County; California,1615,719,287,79,0,0,13,30,252,85,14,45,34,79,426,57,California,1400000US06001405401
06001405402,CA,Alameda County,4054.02,Census Tract 4054.02; Alameda County; California,1212,527,210,0,0,0,25,0,192,117,30,46,0,0,385,65,California,1400000US06001405402
06001405500,CA,Alameda County,4055,Census Tract 4055; Alameda County; California,1629,880,193,0,0,0,47,0,239,111,53,66,20,0,469,20,California,1400000US06001405500
06001405600,CA,Alameda County,4056,Census Tract 4056; Alameda County; California,1449,908,210,0,0,0,0,0,260,0,43,22,6,0,325,0,California,1400000US06001405600
06001405700,CA,Alameda County,4057,Census Tract 4057; Alameda County; California,1491,750,226,0,0,10,51,11,119,43,19,0,18,0,192,244,California,1400000US06001405700
06001405800,CA,Alameda County,4058,Census Tract 4058; Alameda County; California,1366,525,216,0,0,0,0,0,198,64,0,217,0,0,479,146,California,1400000US06001405800
06001405901,CA,Alameda County,4059.01,Census Tract 4059.01; Alameda County; California,1169,395,309,21,37,0,13,0,146,164,11,48,0,58,369,25,California,1400000US06001405901
06001405902,CA,Alameda County,4059.02,Census Tract 4059.02; Alameda County; California,919,238,236,46,0,0,8,21,177,105,20,28,11,46,351,29,California,1400000US06001405902
06001406000,CA,Alameda County,4060,Census Tract 4060; Alameda County; California,2000,872,232,23,0,0,62,13,414,167,23,92,52,23,709,50,California,1400000US06001406000
06001406100,CA,Alameda County,4061,Census Tract 4061; Alameda County; California,1946,754,625,107,0,0,30,36,142,136,50,66,0,107,430,0,California,1400000US06001406100
06001406201,CA,Alameda County,4062.01,Census Tract 4062.01; Alameda County; California,1508,355,715,0,0,0,36,0,142,93,0,92,63,0,327,12,California,1400000US06001406201
06001406202,CA,Alameda County,4062.02,Census Tract 4062.02; Alameda County; California,1379,253,841,12,0,0,0,0,40,77,96,42,18,12,255,0,California,1400000US06001406202
06001406300,CA,Alameda County,4063,Census Tract 4063; Alameda County; California,1406,467,532,0,0,9,5,0,182,103,10,83,15,0,378,0,California,1400000US06001406300
06001406400,CA,Alameda County,4064,Census Tract 4064; Alameda County; California,805,402,273,9,3,0,11,0,56,33,6,3,0,12,98,9,California,1400000US06001406400
06001406500,CA,Alameda County,4065,Census Tract 4065; Alameda County; California,2006,726,801,0,0,0,24,18,191,27,54,87,24,0,377,54,California,1400000US06001406500
06001406601,CA,Alameda County,4066.01,Census Tract 4066.01; Alameda County; California,1854,1143,354,15,37,0,29,0,133,20,15,33,18,52,201,57,California,1400000US06001406601
06001406602,CA,Alameda County,4066.02,Census Tract 4066.02; Alameda County; California,962,469,244,6,0,0,27,9,90,17,26,12,0,6,154,62,California,1400000US06001406602
06001406700,CA,Alameda County,4067,Census Tract 4067; Alameda County; California,2118,1378,277,24,53,0,24,10,231,13,12,50,0,77,316,46,California,1400000US06001406700
06001406800,CA,Alameda County,4068,Census Tract 4068; Alameda County; California,1429,849,240,10,6,0,0,0,221,0,0,49,0,16,270,54,California,1400000US06001406800
06001406900,CA,Alameda County,4069,Census Tract 4069; Alameda County; California,1585,1028,214,0,11,33,28,26,82,57,0,106,0,11,271,0,California,1400000US06001406900
06001407000,CA,Alameda County,4070,Census Tract 4070; Alameda County; California,2179,1168,446,0,0,10,71,0,184,37,32,23,0,0,276,208,California,1400000US06001407000
06001407101,CA,Alameda County,4071.01,Census Tract 4071.01; Alameda County; California,1135,360,485,0,0,0,10,0,67,101,49,13,50,0,230,0,California,1400000US06001407101
06001407102,CA,Alameda County,4071.02,Census Tract 4071.02; Alameda County; California,1423,557,468,0,16,0,7,0,171,8,23,173,0,16,375,0,California,1400000US06001407102
06001407200,CA,Alameda County,4072,Census Tract 4072; Alameda County; California,1896,409,1251,19,0,0,37,0,45,92,22,8,0,19,167,13,California,1400000US06001407200
06001407300,CA,Alameda County,4073,Census Tract 4073; Alameda County; California,674,245,335,0,0,6,0,0,35,22,9,15,0,0,81,7,California,1400000US06001407300
06001407400,CA,Alameda County,4074,Census Tract 4074; Alameda County; California,1324,653,534,0,9,0,0,0,0,23,0,59,10,9,82,36,California,1400000US06001407400
06001407500,CA,Alameda County,4075,Census Tract 4075; Alameda County; California,1298,575,591,0,0,0,0,0,57,0,0,75,0,0,132,0,California,1400000US06001407500
06001407600,CA,Alameda County,4076,Census Tract 4076; Alameda County; California,2177,1106,663,65,91,37,18,0,0,62,0,77,0,156,139,58,California,1400000US06001407600
06001407700,CA,Alameda County,4077,Census Tract 4077; Alameda County; California,1694,1198,315,16,0,0,36,11,40,7,10,26,0,16,94,35,California,1400000US06001407700
06001407800,CA,Alameda County,4078,Census Tract 4078; Alameda County; California,751,528,96,0,37,17,0,0,28,0,6,0,0,37,34,39,California,1400000US06001407800
06001407900,CA,Alameda County,4079,Census Tract 4079; Alameda County; California,1322,1025,53,0,0,0,38,17,88,0,63,15,23,0,183,0,California,1400000US06001407900
06001408000,CA,Alameda County,4080,Census Tract 4080; Alameda County; California,1019,793,101,0,38,9,11,0,33,10,3,0,0,38,46,21,California,1400000US06001408000
06001408100,CA,Alameda County,4081,Census Tract 4081; Alameda County; California,2965,1896,363,73,7,14,83,21,403,31,23,51,0,80,529,0,California,1400000US06001408100
06001408200,CA,Alameda County,4082,Census Tract 4082; Alameda County; California,1893,1272,384,34,38,26,13,0,84,0,6,8,0,72,98,28,California,1400000US06001408200
06001408300,CA,Alameda County,4083,Census Tract 4083; Alameda County; California,1866,1316,297,0,16,0,16,13,99,0,15,94,0,16,221,0,California,1400000US06001408300
06001408400,CA,Alameda County,4084,Census Tract 4084; Alameda County; California,1333,709,519,31,0,11,10,0,21,24,0,8,0,31,53,0,California,1400000US06001408400
06001408500,CA,Alameda County,4085,Census Tract 4085; Alameda County; California,1759,965,660,47,0,0,0,0,0,13,0,40,0,47,53,34,California,1400000US06001408500
06001408600,CA,Alameda County,4086,Census Tract 4086; Alameda County; California,2011,1026,828,46,0,0,17,0,21,31,0,0,28,46,52,14,California,1400000US06001408600
06001408700,CA,Alameda County,4087,Census Tract 4087; Alameda County; California,2764,1562,1109,0,0,0,0,0,0,41,36,16,0,0,93,0,California,1400000US06001408700
06001408800,CA,Alameda County,4088,Census Tract 4088; Alameda County; California,2365,1274,611,33,0,0,0,0,109,31,10,130,71,33,280,96,California,1400000US06001408800
06001408900,CA,Alameda County,4089,Census Tract 4089; Alameda County; California,1166,440,630,0,0,0,0,0,19,6,0,29,15,0,54,27,California,1400000US06001408900
06001409000,CA,Alameda County,4090,Census Tract 4090; Alameda County; California,1027,409,426,0,0,0,6,0,35,64,0,38,35,0,137,14,California,1400000US06001409000
06001409100,CA,Alameda County,4091,Census Tract 4091; Alameda County; California,678,223,407,0,0,0,0,0,10,0,6,11,0,0,27,21,California,1400000US06001409100
06001409200,CA,Alameda County,4092,Census Tract 4092; Alameda County; California,1046,423,493,0,0,0,0,0,0,11,8,71,10,0,90,30,California,1400000US06001409200
06001409300,CA,Alameda County,4093,Census Tract 4093; Alameda County; California,1695,595,1009,0,0,0,10,0,0,9,11,23,0,0,43,38,California,1400000US06001409300
06001409400,CA,Alameda County,4094,Census Tract 4094; Alameda County; California,1366,371,861,0,0,0,0,0,33,0,50,8,29,0,91,14,California,1400000US06001409400
06001409500,CA,Alameda County,4095,Census Tract 4095; Alameda County; California,1117,306,667,0,0,0,0,0,14,30,0,21,67,0,65,12,California,1400000US06001409500
06001409600,CA,Alameda County,4096,Census Tract 4096; Alameda County; California,1727,786,903,21,0,0,17,0,0,0,0,0,0,21,0,0,California,1400000US06001409600
06001409700,CA,Alameda County,4097,Census Tract 4097; Alameda County; California,1693,1134,483,0,0,0,0,0,6,0,0,7,0,0,13,63,California,1400000US06001409700
06001409800,CA,Alameda County,4098,Census Tract 4098; Alameda County; California,1226,999,97,0,0,13,0,0,53,0,0,19,17,0,72,28,California,1400000US06001409800
06001409900,CA,Alameda County,4099,Census Tract 4099; Alameda County; California,1434,1105,176,9,8,10,12,0,27,0,32,0,0,17,59,55,California,1400000US06001409900
06001410000,CA,Alameda County,4100,Census Tract 4100; Alameda County; California,1220,998,79,0,0,14,0,52,34,13,0,0,0,0,99,30,California,1400000US06001410000
06001410100,CA,Alameda County,4101,Census Tract 4101; Alameda County; California,1095,787,132,15,0,0,5,4,25,13,21,36,0,15,99,57,California,1400000US06001410100
06001410200,CA,Alameda County,4102,Census Tract 4102; Alameda County; California,1107,623,379,2,0,0,9,0,23,0,0,47,24,2,70,0,California,1400000US06001410200
06001410300,CA,Alameda County,4103,Census Tract 4103; Alameda County; California,1080,288,772,0,0,0,0,0,4,0,0,16,0,0,20,0,California,1400000US06001410300
06001410400,CA,Alameda County,4104,Census Tract 4104; Alameda County; California,1461,839,491,26,0,38,16,0,51,0,0,0,0,26,51,0,California,1400000US06001410400
06001410500,CA,Alameda County,4105,Census Tract 4105; Alameda County; California,1064,829,30,0,0,9,14,0,25,0,22,37,45,0,84,53,California,1400000US06001410500
06001420100,CA,Alameda County,4201,Census Tract 4201; Alameda County; California,1028,772,89,7,13,9,8,4,77,0,9,35,0,20,125,5,California,1400000US06001420100
06001420200,CA,Alameda County,4202,Census Tract 4202; Alameda County; California,1262,652,46,41,8,0,85,43,234,0,27,115,0,49,419,11,California,1400000US06001420200
06001420301,CA,Alameda County,4203.01,Census Tract 4203.01; Alameda County; California,1101,442,74,34,71,0,58,47,250,0,0,125,0,105,422,0,California,1400000US06001420301
06001420302,CA,Alameda County,4203.02,Census Tract 4203.02; Alameda County; California,961,474,79,4,6,23,62,7,189,0,11,106,0,10,313,0,California,1400000US06001420302
06001420401,CA,Alameda County,4204.01,Census Tract 4204.01; Alameda County; California,456,252,60,5,0,25,5,25,27,5,0,47,0,5,104,5,California,1400000US06001420401
06001420402,CA,Alameda County,4204.02,Census Tract 4204.02; Alameda County; California,602,230,93,0,16,10,38,12,126,0,17,44,0,16,199,16,California,1400000US06001420402
06001420500,CA,Alameda County,4205,Census Tract 4205; Alameda County; California,930,567,165,15,5,0,64,11,75,0,4,24,0,20,114,0,California,1400000US06001420500
06001420600,CA,Alameda County,4206,Census Tract 4206; Alameda County; California,1333,918,119,55,22,0,75,28,83,0,13,20,0,77,144,0,California,1400000US06001420600
06001421100,CA,Alameda County,4211,Census Tract 4211; Alameda County; California,872,660,53,42,7,11,48,0,28,7,4,12,0,49,51,0,California,1400000US06001421100
06001421200,CA,Alameda County,4212,Census Tract 4212; Alameda County; California,1378,929,132,88,35,9,62,8,84,0,0,21,10,123,113,0,California,1400000US06001421200
06001421300,CA,Alameda County,4213,Census Tract 4213; Alameda County; California,1841,1320,67,26,27,86,103,0,133,10,13,45,11,53,201,0,California,1400000US06001421300
06001421400,CA,Alameda County,4214,Census Tract 4214; Alameda County; California,652,499,36,20,12,6,47,0,15,10,0,7,0,32,32,0,California,1400000US06001421400
06001421500,CA,Alameda County,4215,Census Tract 4215; Alameda County; California,1589,1188,115,47,25,21,41,0,100,11,0,14,0,72,125,27,California,1400000US06001421500
06001421600,CA,Alameda County,4216,Census Tract 4216; Alameda County; California,1557,1144,133,60,12,9,56,15,87,0,0,17,12,72,119,12,California,1400000US06001421600
06001421700,CA,Alameda County,4217,Census Tract 4217; Alameda County; California,1643,1070,85,40,13,116,101,16,157,10,0,35,0,53,218,0,California,1400000US06001421700
06001421800,CA,Alameda County,4218,Census Tract 4218; Alameda County; California,888,669,85,32,9,0,23,0,22,0,0,11,27,41,33,10,California,1400000US06001421800
06001421900,CA,Alameda County,4219,Census Tract 4219; Alameda County; California,1698,1349,97,14,25,0,68,6,84,4,2,22,0,39,118,27,California,1400000US06001421900
06001422000,CA,Alameda County,4220,Census Tract 4220; Alameda County; California,1233,947,64,0,32,0,78,11,57,0,0,44,0,32,112,0,California,1400000US06001422000
06001422100,CA,Alameda County,4221,Census Tract 4221; Alameda County; California,1416,974,211,36,10,0,63,13,48,0,35,26,0,46,122,0,California,1400000US06001422100
06001422200,CA,Alameda County,4222,Census Tract 4222; Alameda County; California,1447,1138,62,13,10,9,82,0,50,22,0,50,0,23,122,11,California,1400000US06001422200
06001422300,CA,Alameda County,4223,Census Tract 4223; Alameda County; California,1697,1133,34,59,9,15,105,20,194,0,6,82,0,68,302,40,California,1400000US06001422300
06001422400,CA,Alameda County,4224,Census Tract 4224; Alameda County; California,1915,1110,73,0,17,13,234,42,343,0,0,0,66,17,385,17,California,1400000US06001422400
06001422500,CA,Alameda County,4225,Census Tract 4225; Alameda County; California,1704,894,139,27,53,33,267,66,145,0,11,60,0,80,282,9,California,1400000US06001422500
06001422700,CA,Alameda County,4227,Census Tract 4227; Alameda County; California,965,420,104,13,10,8,40,45,180,6,0,139,0,23,370,0,California,1400000US06001422700
06001422800,CA,Alameda County,4228,Census Tract 4228; Alameda County; California,1504,549,139,26,0,27,113,75,390,70,38,38,24,26,611,15,California,1400000US06001422800
06001422901,CA,Alameda County,4229.01,Census Tract 4229.01; Alameda County; California,869,407,18,0,0,0,59,21,251,0,13,78,22,0,363,0,California,1400000US06001422901
06001422902,CA,Alameda County,4229.02,Census Tract 4229.02; Alameda County; California,1335,795,158,18,0,0,128,0,177,0,34,17,8,18,228,0,California,1400000US06001422902
06001423000,CA,Alameda County,4230,Census Tract 4230; Alameda County; California,1994,1511,144,15,85,13,49,44,53,0,36,30,14,100,163,0,California,1400000US06001423000
06001423100,CA,Alameda County,4231,Census Tract 4231; Alameda County; California,2048,1516,156,59,19,0,52,10,46,41,60,13,14,78,170,62,California,1400000US06001423100
06001423200,CA,Alameda County,4232,Census Tract 4232; Alameda County; California,1178,758,252,21,0,0,33,20,62,0,7,25,0,21,114,0,California,1400000US06001423200
06001423300,CA,Alameda County,4233,Census Tract 4233; Alameda County; California,1413,952,133,15,0,41,82,5,61,0,25,95,0,15,186,4,California,1400000US06001423300
06001423400,CA,Alameda County,4234,Census Tract 4234; Alameda County; California,2141,1386,366,38,38,38,80,8,80,54,0,37,0,76,179,16,California,1400000US06001423400
06001423500,CA,Alameda County,4235,Census Tract 4235; Alameda County; California,1607,1027,138,49,29,26,93,5,62,42,0,59,10,78,168,67,California,1400000US06001423500
06001423601,CA,Alameda County,4236.01,Census Tract 4236.01; Alameda County; California,1145,813,57,61,12,22,71,20,60,0,0,14,0,73,94,15,California,1400000US06001423601
06001423602,CA,Alameda County,4236.02,Census Tract 4236.02; Alameda County; California,2300,1368,220,33,68,0,177,69,221,14,10,89,0,101,403,31,California,1400000US06001423602
06001423700,CA,Alameda County,4237,Census Tract 4237; Alameda County; California,1143,695,125,38,51,0,69,28,96,0,13,28,0,89,165,0,California,1400000US06001423700
06001423800,CA,Alameda County,4238,Census Tract 4238; Alameda County; California,1446,1078,134,27,14,0,55,18,33,0,0,58,20,41,109,9,California,1400000US06001423800
06001423901,CA,Alameda County,4239.01,Census Tract 4239.01; Alameda County; California,903,579,144,19,7,0,28,10,29,0,4,1,62,26,44,20,California,1400000US06001423901
06001423902,CA,Alameda County,4239.02,Census Tract 4239.02; Alameda County; California,702,575,57,5,4,0,30,9,4,0,0,0,0,9,13,18,California,1400000US06001423902
06001424001,CA,Alameda County,4240.01,Census Tract 4240.01; Alameda County; California,1465,960,189,26,24,0,90,10,21,10,0,86,11,50,127,38,California,1400000US06001424001
06001424002,CA,Alameda County,4240.02,Census Tract 4240.02; Alameda County; California,1034,713,142,66,16,6,16,27,24,10,0,0,7,82,61,7,California,1400000US06001424002
06001425101,CA,Alameda County,4251.01,Census Tract 4251.01; Alameda County; California,1292,822,23,0,7,33,122,27,197,0,23,38,0,7,285,0,California,1400000US06001425101
06001425102,CA,Alameda County,4251.02,Census Tract 4251.02; Alameda County; California,2413,1348,54,42,16,10,280,139,333,13,24,90,0,58,599,64,California,1400000US06001425102
06001425103,CA,Alameda County,4251.03,Census Tract 4251.03; Alameda County; California,1789,1220,99,20,13,0,93,82,128,9,0,89,0,33,308,36,California,1400000US06001425103
06001425104,CA,Alameda County,4251.04,Census Tract 4251.04; Alameda County; California,2153,1382,414,27,0,14,70,30,142,8,0,19,0,27,199,47,California,1400000US06001425104
06001426100,CA,Alameda County,4261,Census Tract 4261; Alameda County; California,2093,1634,16,57,27,44,17,0,277,0,0,21,0,84,298,0,California,1400000US06001426100
06001426200,CA,Alameda County,4262,Census Tract 4262; Alameda County; California,1644,1306,68,42,40,4,30,16,97,0,0,41,0,82,154,0,California,1400000US06001426200
06001427100,CA,Alameda County,4271,Census Tract 4271; Alameda County; California,1343,903,176,0,0,42,121,0,74,11,8,8,0,0,101,0,California,1400000US06001427100
06001427200,CA,Alameda County,4272,Census Tract 4272; Alameda County; California,1557,892,147,0,0,6,74,11,201,43,131,52,0,0,438,0,California,1400000US06001427200
06001427300,CA,Alameda County,4273,Census Tract 4273; Alameda County; California,2112,1034,169,113,43,0,70,0,204,65,131,283,0,156,683,0,California,1400000US06001427300
06001427600,CA,Alameda County,4276,Census Tract 4276; Alameda County; California,1911,823,251,0,0,19,252,20,107,17,202,68,73,0,414,79,California,1400000US06001427600
06001427700,CA,Alameda County,4277,Census Tract 4277; Alameda County; California,2176,1366,145,50,45,43,31,29,206,100,113,48,0,95,496,0,California,1400000US06001427700
06001427800,CA,Alameda County,4278,Census Tract 4278; Alameda County; California,1807,1191,208,58,23,32,41,0,43,58,90,42,21,81,233,0,California,1400000US06001427800
06001427900,CA,Alameda County,4279,Census Tract 4279; Alameda County; California,1997,1157,258,18,0,0,112,32,173,68,168,0,0,18,441,11,California,1400000US06001427900
06001428000,CA,Alameda County,4280,Census Tract 4280; Alameda County; California,1218,783,177,0,10,13,16,18,94,0,63,33,0,10,208,11,California,1400000US06001428000
06001428100,CA,Alameda County,4281,Census Tract 4281; Alameda County; California,1844,1294,111,21,0,18,128,0,47,56,68,20,0,21,191,81,California,1400000US06001428100
06001428200,CA,Alameda County,4282,Census Tract 4282; Alameda County; California,2718,1933,236,21,0,35,119,0,215,41,46,72,0,21,374,0,California,1400000US06001428200
06001428301,CA,Alameda County,4283.01,Census Tract 4283.01; Alameda County; California,2293,1408,93,0,0,28,46,83,463,11,94,32,0,0,683,35,California,1400000US06001428301
06001428302,CA,Alameda County,4283.02,Census Tract 4283.02; Alameda County; California,2489,1635,77,0,38,23,75,15,518,47,12,49,0,38,641,0,California,1400000US06001428302
